Text	Author	Source
Everything flows and nothing abides. Everything gives way and nothing stays fixed.	Heraclitus	
To do the useful thing, to say the courageous thing, to contemplate the beautiful thing: that is enough for one man’s life	TS Elliot	The Use of Poetry and the Use of Criticism
Bite off more than you can chew and then chew like crazy.	Crocodile Dundee	
Most people are other people. Their thoughts are someone else's opinions, their lives a mimicry, their passions a quotation.	Oscar Wilde	
Only those who risk going too far can possibly find out how far they can go.	TS Elliot	
Mediocrity knows nothing higher than itself. Talent instantly recognises genius.	Sir Arthur Conan Doyle 	
Snowmen fall to Earth unassembled	Raymond Aaron	
When we're away from home, we're all inclined to think we left a paradise behind	Johann von Goethe	Faust
All who joy would win must share it. Happiness was born a twin	Byron	
You cannot truly listen to anyone and do anything else at the same time.	M. Scott Peck	
Do your work; not just your work and no more. But a little more for the lavishing's sake. That little which is worth all the rest.  And if you suffer, as you must, and if you doubt, as you must, do your work. Put your heart into it, and the sky will clear. Then out of your doubt and suffering will be born the supreme joy of life.	Dean Briggs	
Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.	Marcus Aurelius	
There are two ways to be fooled. One is to believe what isn't true; the other is to refuse to believe what is true.	Soren Kierkegaard	
My grief lies onward, my joy behind.	William Shakespeare	Sonnets
Savor the fruit of life, my young friends. It has a sweet taste when it is fresh from the vine. But don't live too long. The taste turns bitter... after a time.	Kor	StarTrek:Deep Space Nine
Most people overestimate what they can do in a day, and underestimate what they can do in a month. We overestimate what we can do in a year, and underestimate what we can accomplish in a decade	Matthew Kelly	The Long View
I was obliged to be industrious. Whoever is equally industrious will succeed equally well.	JS Bach	
We learn from history that we learn nothing from history.	Georg Wilhelm Friedrich Hegel	
Care about what other people think and you will always be their prisoner.	Lao Tzu	
Success breed complacency. Complacency breeds failure. Only the paranoid survives.	Andy Gorves	
What we need, we, is fixedness intense, Unequalled effort, strive that shall not cease, Is night, the bitter night of labour, whence Arises, sun-like, slow, the Master-piece.	Paul Verlaine	
Throughout the whole of life one must continue to learn to live. And what will amaze you even more, throughout life one must learn to die.	Seneca	
If you're not part of the solution, you're part of the problem.	Eldridge Cleaver	
Those things that hurt instruct.	Benjamin Franklin	
But what matters an eternity of damnation to one who has found in a second an infinite joy.	Charles Baudelaire	
To do the useful thing, to say the courageous thing, to contemplate the beautiful: that is enough for one man's life.	T.S. Eliot	The Use of Poetry and Use of Criticism
And I’m her arms and in her heaving breasts, She calls men’s eyes to be her servile guests	Charles Baudelaire	Flowers of Evil
She calls men’s eyes to be her servile guests	Viktor Frankl	Man's search for meaning
Control thy passions lest they take vengeance on thee.	Epictetus	
I am an enigma to myself.	Augustine	
Wie viel ist aufzuleiden!	Rilke	
It doesn't really matter we expect from life, but rather what life expects of us.	Viktor Frankl	Man's Search For Meaning
Suffering ceases to be suffering the moment it has a meaning.	Viktor Frankl	Man's Search For Meaning
I care not so much what I am to others as what I am to myself.	Michel de Montaigne	
May my soul bloom in love for all existence.	Rudolf Steiner	
The descent to Hades is the same from every place.	Axanagoras	
A ceremony in which rings are put on the finger of the lady and through the nose of the gentleman.	Herbert Spencer	
There are things which must cause you to lose your reason or you have none to lose.	Lessing	
Tyranny is always better organised than freedom.	Charles Peguy	
Gambling is the child of avarice, the brother of iniquity and the father of mischief.	George Washington	
Accept what is, let go of what was, have faith in what will be.	Pammy Johal	
Performance drives success. But when performance can't be measured, networks drive success.	Albert-Laszlo Barabasi	
He who listens well notes well what he hears.	Dante	Canto XV, The Divine Comedy: Inferno
Wrong it is for a man to have again what he once cast off.	Dante	Canto XIII, The Divine Comedy: Inferno
Wealth cannot be what we want, for it serves only as a means of getting something else.	Aristotle	
It is the mark of an educated mind to be able to entertain a thought without accepting it.	Aristotle	
The ultimate effect of shielding men from the effects of folly is to fill the world with fools.	Herbert Spencer	
The aim of education is not knowledge but action.	Herbert Spencer	
What is the joy of a life without sadness?	Unknown	
You may delay but time will not. And lost time is never found again.	Benjamin Franklin	
Conquer yourself rather than the world.	Réné Descartes	
Neglect is the coldest of winter winds.	Thomas Hardy	Desperate Remedies
Too many have dispensed with generosity in order to practice charity.	Albert Camus	
How true it is that proffered service stinks.	Geoffrey Chaucer	The Cantebury Tales
Manifest plainness; Embrace simplicity, reduce selfishness, have few desires.	Lao Tzu	
Progress is impossible without change, and those who cannot change their minds cannot change anything.	George Bernard Shaw	
